key_with_zip,key_no_zip,address,city,zip,licensee,lat,lng
"100 Coors Blvd., NW, Albuquerque 87120.0","100 Coors Blvd., NW, Albuquerque","100 Coors Blvd., NW",Albuquerque,87120.0,NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  COORS BLVD RETAIL - Albuquerque,,
"10032 Coors Blvd NW, Albuquerque 87114.0","10032 Coors Blvd NW, Albuquerque",10032 Coors Blvd NW,Albuquerque,87114.0,THE VERDES FOUNDATION/ RETAIL COORS BLVD NW,,
"101 98th St SW, Albuquerque 87121.0","101 98th St SW, Albuquerque",101 98th St SW,Albuquerque,87121.0,ELKHORN RETAIL LLC/ RETAIL 98TH ST SW,,
"1011 4th St. NW, Albuquerque 87102.0","1011 4th St. NW, Albuquerque",1011 4th St. NW,Albuquerque,87102.0,WATTS INDUSTRIES LLC - 4TH ST RETAIL,,
"1015 4th Street SW, Albuquerque 87102.0","1015 4th Street SW, Albuquerque",1015 4th Street SW,Albuquerque,87102.0,PAR 4 LLC/ RETAIL 4TH STREET SW,,
"1016 Juan Tabo Blvd. NE Ste. J, Albuquerque 87112.0","1016 Juan Tabo Blvd. NE Ste. J, Albuquerque",1016 Juan Tabo Blvd. NE Ste. J,Albuquerque,87112.0,SEVEN CLOVER ALBUQUERQUE DISPENSARY,,
"1017 San Mateo SE, Albuquerque 87108.0","1017 San Mateo SE, Albuquerque",1017 San Mateo SE,Albuquerque,87108.0,WEED AND READ LTD LLC,,
"10200 Corrales Rd NW Ste E-2, Albuquerque 87114.0","10200 Corrales Rd NW Ste E-2, Albuquerque",10200 Corrales Rd NW Ste E-2,Albuquerque,87114.0,GOT GREENS LLC - CORRALES RD RETAIL,,
"10250 Cottonwood Park NW, Albuquerque 87114.0","10250 Cottonwood Park NW, Albuquerque",10250 Cottonwood Park NW,Albuquerque,87114.0,R. GREENLEAF ORGANICS DISPENSARY - Albuquerque,,
"1027 San Mateo Blvd SE, Albuquerque 87108.0","1027 San Mateo Blvd SE, Albuquerque",1027 San Mateo Blvd SE,Albuquerque,87108.0,"STONED DESERT, LLC - SAN MATEO BLVD RETAIL/CONS",,
"10660 Unser Blvd., NW, Albuquerque 87114.0","10660 Unser Blvd., NW, Albuquerque","10660 Unser Blvd., NW",Albuquerque,87114.0,EVEREST APOTHECARY - ALBUQUERQUE DISPENSARY,,
"11 Haines Ave NW, Albuquerque 87102.0","11 Haines Ave NW, Albuquerque",11 Haines Ave NW,Albuquerque,87102.0,AFICIONADO CANNABIS INC - HAINES RETAIL,,
"110 Yale SE, Albuquerque 87106.0","110 Yale SE, Albuquerque",110 Yale SE,Albuquerque,87106.0,R. GREENLEAF ORGANICS - Albuquerque,,
"1100 4th St NW, Albuquerque 87102.0","1100 4th St NW, Albuquerque",1100 4th St NW,Albuquerque,87102.0,RED GORILLA GREENS - 4TH ST RETAIL,,
"1125 Kent Ave NW, Albuquerque 87102.0","1125 Kent Ave NW, Albuquerque",1125 Kent Ave NW,Albuquerque,87102.0,GALLEGOS  RHODES ENTERPRISES LLC - KENT AVE RETAIL,,
"120 98th ST NW, Albuquerque 87121.0","120 98th ST NW, Albuquerque",120 98th ST NW,Albuquerque,87121.0,URBAN WELLNESS - 98TH ST DISPENSARY,,
"121 Eubank NE Ste A, Albuquerque 87123.0","121 Eubank NE Ste A, Albuquerque",121 Eubank NE Ste A,Albuquerque,87123.0,PECOS VALLEY PRODUCTION INC - EUBANK RETAIL,,
"1220 Eubank Blvd NE Ste B, Albuquerque 87112.0","1220 Eubank Blvd NE Ste B, Albuquerque",1220 Eubank Blvd NE Ste B,Albuquerque,87112.0,LOVES CANNABIS - Albuquerque,,
"1228 Juan Tabo NE, Albuquerque 87112.0","1228 Juan Tabo NE, Albuquerque",1228 Juan Tabo NE,Albuquerque,87112.0,THE TRIDENT CANNABIS COMPANY LLC - JUAN TABO RETAIL,,
"12611 Montgomery Blvd NE Suite A10, Albuquerque 87111.0","12611 Montgomery Blvd NE Suite A10, Albuquerque",12611 Montgomery Blvd NE Suite A10,Albuquerque,87111.0,FAMILY STRAINS 2 LLC,,
"12999 Central Avenue, Albuquerque 87123.0","12999 Central Avenue, Albuquerque",12999 Central Avenue,Albuquerque,87123.0,SCORE 420 - CENTRAL AVENUE RETAILER,,
"1300 Juan Tabo ne suite C, Albuquerque 87112.0","1300 Juan Tabo ne suite C, Albuquerque",1300 Juan Tabo ne suite C,Albuquerque,87112.0,BOGOSLLC - JUAN TABO MANUFACTURER,,
"1301 Rio Grande Blvd NW Ste 2, Albuquerque 87104.0","1301 Rio Grande Blvd NW Ste 2, Albuquerque",1301 Rio Grande Blvd NW Ste 2,Albuquerque,87104.0,OVERGROWN LLC- RIO GRANDE BLVD RETAIL,,
"13025 Lomas Blvd NE Ste B, Albuquerque 87112.0","13025 Lomas Blvd NE Ste B, Albuquerque",13025 Lomas Blvd NE Ste B,Albuquerque,87112.0,BOUTIQUE HIGH - LOMAS BLVD RETAIL,,
"1309 Eubank Blvd NE, Albuquerque 87112.0","1309 Eubank Blvd NE, Albuquerque",1309 Eubank Blvd NE,Albuquerque,87112.0,UNBEWEEDABLE CANNABIS CAFE LLC - EUBANK RETAIL/ CONSUMPTION,,
"1309 Yale Blvd SE, Albuquerque 87106.0","1309 Yale Blvd SE, Albuquerque",1309 Yale Blvd SE,Albuquerque,87106.0,CANVAS ORGANICS ENTERPRISES LLC - YALE BLVD RETAIL,,
"1330 San Pedro Dr NE Suite 103, Albuquerque 87110.0","1330 San Pedro Dr NE Suite 103, Albuquerque",1330 San Pedro Dr NE Suite 103,Albuquerque,87110.0,ABOVE GRADE CRAFT CANNABIS LLC - SAN PEDRO BLVD RETAIL,,
"1340 Broadway Blvd NE Ste A, Albuquerque 87102.0","1340 Broadway Blvd NE Ste A, Albuquerque",1340 Broadway Blvd NE Ste A,Albuquerque,87102.0,BLUE WHALE ENTERPRISES INC - BROADWAY RETAIL,,
"13600 Copper Ave NE, Albuquerque 87123.0","13600 Copper Ave NE, Albuquerque",13600 Copper Ave NE,Albuquerque,87123.0,WEEDMART LLC - COPPER RETAIL,,
"13600 Copper Ave NE Ste C, Albuquerque 87123.0","13600 Copper Ave NE Ste C, Albuquerque",13600 Copper Ave NE Ste C,Albuquerque,87123.0,WEEDMART LLC - COPPER AVE MANUFACTURER,,
"138 Harvard Dr SE, Albuquerque 87106.0","138 Harvard Dr SE, Albuquerque",138 Harvard Dr SE,Albuquerque,87106.0,TROPICS B LLC - 138 HARVARD DR SE CONS/RETAIL,,
"141 Osuna Rd NE, Albuquerque 87107.0","141 Osuna Rd NE, Albuquerque",141 Osuna Rd NE,Albuquerque,87107.0,OCC ABQ LLC- OSUNA RD RETAIL,,
"1416 Juan Tabo Blvd NE, Albuquerque 87112.0","1416 Juan Tabo Blvd NE, Albuquerque",1416 Juan Tabo Blvd NE,Albuquerque,87112.0,CANNAEXPRESS INC - JUAN TABO RETAIL,,
"1451 12th Street, Albuquerque 87104.0","1451 12th Street, Albuquerque",1451 12th Street,Albuquerque,87104.0,HF HOLDING LLC - 12TH ST MANUFACTURER,,
"1514 Coors Blvd Ste B, Albuquerque 87121.0","1514 Coors Blvd Ste B, Albuquerque",1514 Coors Blvd Ste B,Albuquerque,87121.0,PROHIBITION 37,,
"1520 Lomas Blvd NW, Albuquerque 87104.0","1520 Lomas Blvd NW, Albuquerque",1520 Lomas Blvd NW,Albuquerque,87104.0,FCI OF NEW MEXICO - LOMAS RETAIL,,
"1605 Isleta Blvd Ste D, Albuquerque 87105.0","1605 Isleta Blvd Ste D, Albuquerque",1605 Isleta Blvd Ste D,Albuquerque,87105.0,URBAN WELLNESS - ISLETA RETAIL,,
"1606 Central Ave NE Ste 101, Albuquerque 87106.0","1606 Central Ave NE Ste 101, Albuquerque",1606 Central Ave NE Ste 101,Albuquerque,87106.0,RELEAF CANNABIS CO - CENTRAL AVE RETAIL,,
"1616 Eubank Blvd NE, Albuquerque 87112.0","1616 Eubank Blvd NE, Albuquerque",1616 Eubank Blvd NE,Albuquerque,87112.0,KEYWAY INC/DBA THE BAD COMPANY,,
"1617 Indian School Rd, Albuquerque 87104.0","1617 Indian School Rd, Albuquerque",1617 Indian School Rd,Albuquerque,87104.0,LA MOTA NEW MEXICO - INDIAN SCHOOL ROAD MANUFACTURER,,
"1623 San Pedro Dr NE, Albuquerque 87110.0","1623 San Pedro Dr NE, Albuquerque",1623 San Pedro Dr NE,Albuquerque,87110.0,THE HOLY CANNABIS - SAN PEDRO RETAIL,,
"1629 4th St NW, Albuquerque 87102.0","1629 4th St NW, Albuquerque",1629 4th St NW,Albuquerque,87102.0,CLOUDWALKER FARM LLC - ABIQUIU RETAIL,,
"1698 Rio Bravo Blvd SW Ste B, Albuquerque 87105.0","1698 Rio Bravo Blvd SW Ste B, Albuquerque",1698 Rio Bravo Blvd SW Ste B,Albuquerque,87105.0,ANIMACANN INC - RIO BRAVO BLVD RETAIL,,
"1713 Juan Tabo Blvd NE, Albuquerque 87112.0","1713 Juan Tabo Blvd NE, Albuquerque",1713 Juan Tabo Blvd NE,Albuquerque,87112.0,CHADCOR HOLDINGS NM- RETAIL - Albuquerque,,
"1713 San Pedro Dr NE, Albuquerque 87110.0","1713 San Pedro Dr NE, Albuquerque",1713 San Pedro Dr NE,Albuquerque,87110.0,ONESTOPSMOKESHOPVAPER@ACCESSORIES - SAN PEDRO RETAIL,,
"1720 Juan Tabo Suite E, Albuquerque 87112.0","1720 Juan Tabo Suite E, Albuquerque",1720 Juan Tabo Suite E,Albuquerque,87112.0,"SMOKE HAVEN, LLC - JUAN TABO RETAILER",,
"1812 Eubank Blvd NE, Albuquerque 87112.0","1812 Eubank Blvd NE, Albuquerque",1812 Eubank Blvd NE,Albuquerque,87112.0,LAZYDAZE ABQ LLC - EUBANK CONS / RTLR,,
"191 Alameda Blvd NE, Albuquerque 87114.0","191 Alameda Blvd NE, Albuquerque",191 Alameda Blvd NE,Albuquerque,87114.0,BEFORE DAYLITE FARMS LLC - RETAIL,,
"1926 Isleta Blvd SW, Albuquerque 87105.0","1926 Isleta Blvd SW, Albuquerque",1926 Isleta Blvd SW,Albuquerque,87105.0,SKY VIEW CANNABIS LLC - ISLETA BLVD RETAIL,,
"200 Coors Blvd NW Suite D, Albuquerque 87121.0","200 Coors Blvd NW Suite D, Albuquerque",200 Coors Blvd NW Suite D,Albuquerque,87121.0,URBAN WELLNESS - COORS RETAIL,,
"2000 Carlisle Blvd NE Suite B, Albuquerque 87110.0","2000 Carlisle Blvd NE Suite B, Albuquerque",2000 Carlisle Blvd NE Suite B,Albuquerque,87110.0,DULCE CANNABIS,,
"2011 Mountain Road NW, Albuquerque 87104.0","2011 Mountain Road NW, Albuquerque",2011 Mountain Road NW,Albuquerque,87104.0,PURLIFE RETAIL - Albuquerque,,
"2015 Eubank Blvd NE, Albuquerque 87112.0","2015 Eubank Blvd NE, Albuquerque",2015 Eubank Blvd NE,Albuquerque,87112.0,FCI OF NEW MEXICO - EUBANK BLVD RETAIL,,
"2017 Ridgecrest Dr SE, Albuquerque 87108.0","2017 Ridgecrest Dr SE, Albuquerque",2017 Ridgecrest Dr SE,Albuquerque,87108.0,LUNA LEAF LLC - RIDGECREST DR RETAIL,,
"2035 Isleta Blvd SW Ste 1, Albuquerque 87105.0","2035 Isleta Blvd SW Ste 1, Albuquerque",2035 Isleta Blvd SW Ste 1,Albuquerque,87105.0,AMNESIA DISPENSARY  ACCESSORIES - ISLETA BLVD RETAIL,,
"207 Old Coors Dr SW, Albuquerque 87121.0","207 Old Coors Dr SW, Albuquerque",207 Old Coors Dr SW,Albuquerque,87121.0,REDS MARIJUANA SHOP LLC - OLD COORS DR RETAIL,,
"2100 Juan Tabo Blvd NE, Albuquerque 87112.0","2100 Juan Tabo Blvd NE, Albuquerque",2100 Juan Tabo Blvd NE,Albuquerque,87112.0,AMNESIA DISPENSARY  ACCESSORIES - DOUGLAS RETAIL,,
"2105 Vista Oeste NW STE D, Albuquerque 87120.0","2105 Vista Oeste NW STE D, Albuquerque",2105 Vista Oeste NW STE D,Albuquerque,87120.0,NM ALTITUDE LLC - VISTA OESTE NORTHWEST RETAILER,,
"2107 Central Ave NW, Albuquerque 87104.0","2107 Central Ave NW, Albuquerque",2107 Central Ave NW,Albuquerque,87104.0,SCORE 420 - CENTRAL AVE MANUFACTURER,,
"2117 Menaul Blvd NE Suite A, Albuquerque 87107.0","2117 Menaul Blvd NE Suite A, Albuquerque",2117 Menaul Blvd NE Suite A,Albuquerque,87107.0,GREEN CENTRAL STATION RETAIL MENAUL,,
"212 3rd St SW, Albuquerque 87102.0","212 3rd St SW, Albuquerque",212 3rd St SW,Albuquerque,87102.0,FOGO NA BOMBA - 3RD ST RETAIL,,
"2125 Central Ave NW, Albuquerque 87104.0","2125 Central Ave NW, Albuquerque",2125 Central Ave NW,Albuquerque,87104.0,SCORE 420 - CENTRAL  RETAIL,,
"214 Menaul Unit B C, Albuquerque 87107.0","214 Menaul Unit B C, Albuquerque",214 Menaul Unit B C,Albuquerque,87107.0,RR DESIGNS LLC - MENAUL RETAIL,,
"214 San Pedro Dr. NE, Albuquerque 87108.0","214 San Pedro Dr. NE, Albuquerque",214 San Pedro Dr. NE,Albuquerque,87108.0,FIREFLOWER LLC - SAN PEDRO RETAIL,,
"220 Copper Avenue NW, Suite 110, Unit 4, Albuquerque 87102.0","220 Copper Avenue NW, Suite 110, Unit 4, Albuquerque","220 Copper Avenue NW, Suite 110, Unit 4",Albuquerque,87102.0,HARVEST FOUNDATION ALBUQUERQUE DISPENSARY,,
"2201 Louisiana, Suite E, Albuquerque 87110.0","2201 Louisiana, Suite E, Albuquerque","2201 Louisiana, Suite E",Albuquerque,87110.0,EVEREST APOTHECARY DISPENSARY,,
"2211 Central Ave NW, Albuquerque 87104.0","2211 Central Ave NW, Albuquerque",2211 Central Ave NW,Albuquerque,87104.0,SWEET GREENS INC - CENTRAL RETAIL,,
"2308 Eubank BLVD, Albuquerque 87112.0","2308 Eubank BLVD, Albuquerque",2308 Eubank BLVD,Albuquerque,87112.0,TROPICS B LLC-EUBANK BLVD RETAIL/CONS,,
"2308 Eubank Blvd NE, Albuquerque 87112.0","2308 Eubank Blvd NE, Albuquerque",2308 Eubank Blvd NE,Albuquerque,87112.0,HERBAN OASIS LLC - RETAIL,,
"2325 San Pedro Drive Northeast, Albuquerque 87110.0","2325 San Pedro Drive Northeast, Albuquerque",2325 San Pedro Drive Northeast,Albuquerque,87110.0,GALLEGOS  RHODES ENTERPRISES LLC,,
"2400 Juan Tabo Blvd NE Suite B, Albuquerque 87112.0","2400 Juan Tabo Blvd NE Suite B, Albuquerque",2400 Juan Tabo Blvd NE Suite B,Albuquerque,87112.0,H2H DISTRIBUTION LLC - 2400 JUAN TABO RETAILER,,
"2400 rio grande blvd nw suite B, Albuquerque 87104.0","2400 rio grande blvd nw suite B, Albuquerque",2400 rio grande blvd nw suite B,Albuquerque,87104.0,LUNA LEAF LLC - RIO GRANDE BLVD NORTHWEST RETAILER,,
"2406 Comanche Rd. NE, Albuquerque 87107.0","2406 Comanche Rd. NE, Albuquerque",2406 Comanche Rd. NE,Albuquerque,87107.0,SANDIA BOTANICALS - Albuquerque,,
"2501 San Pedro Dr Ne Ste 114, Albuquerque 87110.0","2501 San Pedro Dr Ne Ste 114, Albuquerque",2501 San Pedro Dr Ne Ste 114,Albuquerque,87110.0,PUMP AND JUMP LLC - SAN PEDRO RETAIL,,
"2501 San Pedro Dr NE Suite 110, Albuquerque 87110.0","2501 San Pedro Dr NE Suite 110, Albuquerque",2501 San Pedro Dr NE Suite 110,Albuquerque,87110.0,CAPITAL LEVERAGE LLC - SAN PEDRO RETAIL,,
"2505 6th St NW, Albuquerque 87102.0","2505 6th St NW, Albuquerque",2505 6th St NW,Albuquerque,87102.0,BOSQUE BUDS LLC/ RETAIL 6TH ST NW,,
"2506 San Mateo Place, Albuquerque 87110.0","2506 San Mateo Place, Albuquerque",2506 San Mateo Place,Albuquerque,87110.0,A NICE DREAM INC - EDITH RETAIL,,
"251 98th St Ste A  B, Albuquerque 87121.0","251 98th St Ste A  B, Albuquerque",251 98th St Ste A  B,Albuquerque,87121.0,PECOS VALLEY PRODUCTION INC - 98TH ST RETAIL,,
"2523 4th St NW, Albuquerque 87102.0","2523 4th St NW, Albuquerque",2523 4th St NW,Albuquerque,87102.0,NATURES SECRET CANNABIS - 4TH ST RETAIL,,
"2525 Madison St NE, Albuquerque 87110.0","2525 Madison St NE, Albuquerque",2525 Madison St NE,Albuquerque,87110.0,BIGZ RECREATIONAL LLC - MADISON STREET NORTHEAST RETAILER,,
"2527 Wyoming Blvd NE, Albuquerque 87112.0","2527 Wyoming Blvd NE, Albuquerque",2527 Wyoming Blvd NE,Albuquerque,87112.0,THE PRIVATE STASH LLC - WYOMING BLVD RETAIL,,
"2528 Coors Blvd SW, Albuquerque 87121.0","2528 Coors Blvd SW, Albuquerque",2528 Coors Blvd SW,Albuquerque,87121.0,CANNACOLLC-COORS RETAIL,,
"2601 NE Louisiana Blvd., Albuquerque 87110.0","2601 NE Louisiana Blvd., Albuquerque",2601 NE Louisiana Blvd.,Albuquerque,87110.0,JOE WOJICK  JOE CALANDRA LLC,,
"2621 San Mateo Blvd NE Ste B, Albuquerque 87110.0","2621 San Mateo Blvd NE Ste B, Albuquerque",2621 San Mateo Blvd NE Ste B,Albuquerque,87110.0,PROHIBITION 37 - SAN MATEO RETAIL,,
"2621 Wyoming, Albuquerque 87112.0","2621 Wyoming, Albuquerque",2621 Wyoming,Albuquerque,87112.0,GH LLC,,
"2639 San Mateo Blvd, Albuquerque 87110.0","2639 San Mateo Blvd, Albuquerque",2639 San Mateo Blvd,Albuquerque,87110.0,RAW GREENS LLC - SAN MATEO RETAIL,,
"2714 4th St NW, Albuquerque 87107.0","2714 4th St NW, Albuquerque",2714 4th St NW,Albuquerque,87107.0,LA MOTA NEW MEXICO LLC - 4TH ST RETAIL,,
"2720 Central Ave Southeast F, Albuquerque 87106.0","2720 Central Ave Southeast F, Albuquerque",2720 Central Ave Southeast F,Albuquerque,87106.0,OCC ABQ LLC - Albuquerque,,
"2723 San Mateo Blvd NE, Suite B, Albuquerque 87110.0","2723 San Mateo Blvd NE, Suite B, Albuquerque","2723 San Mateo Blvd NE, Suite B",Albuquerque,87110.0,AMNESIA DISPENSARY  ACCESSORIES - Albuquerque,,
"2828 Carlisle NE, Albuquerque 87110.0","2828 Carlisle NE, Albuquerque",2828 Carlisle NE,Albuquerque,87110.0,GRANDE CULTIVATION COLLECTIVE LLC- CARLISLE MANUFACTURER,,
"2829 San Mateo Blvd NE, Albuquerque 87110.0","2829 San Mateo Blvd NE, Albuquerque",2829 San Mateo Blvd NE,Albuquerque,87110.0,THE NATURAL SOURCE LLC,,
"2910 San Mateo Blvd. NE, Albuquerque 87110.0","2910 San Mateo Blvd. NE, Albuquerque",2910 San Mateo Blvd. NE,Albuquerque,87110.0,URBAN WELLNESS - SAN MATEO DISPENSARY,,
"2925 Juan Tabo Blvd NE, Albuquerque 87112.0","2925 Juan Tabo Blvd NE, Albuquerque",2925 Juan Tabo Blvd NE,Albuquerque,87112.0,OCC ABQ LLC - Albuquerque,,
"2937 monte Vista Blvd ne, Albuquerque 87106.0","2937 monte Vista Blvd ne, Albuquerque",2937 monte Vista Blvd ne,Albuquerque,87106.0,CANNABIS INSTITUTE OF AMERICA - MONTE VISTA RTLR,,
"300 San Mateo Blvd SE, Albuquerque 87108.0","300 San Mateo Blvd SE, Albuquerque",300 San Mateo Blvd SE,Albuquerque,87108.0,H2H DISTRIBUTION LLC - SAN MATEO RETAILER,,
"300 Yale Blvd SE, Albuquerque 87106.0","300 Yale Blvd SE, Albuquerque",300 Yale Blvd SE,Albuquerque,87106.0,SMOKIN JOES LLC - YALE RETAIL,,
"3000 San Pedro Drive NE Suite B, Albuquerque 87110.0","3000 San Pedro Drive NE Suite B, Albuquerque",3000 San Pedro Drive NE Suite B,Albuquerque,87110.0,CANVAS ORGANICS ENTERPRISES LLC,,
"301 Central Ave NW, Albuquerque 87102.0","301 Central Ave NW, Albuquerque",301 Central Ave NW,Albuquerque,87102.0,MAD HATTER GROW LLC - CENTRAL RETAIL,,
"301 San Pedro NE, Albuquerque 87108.0","301 San Pedro NE, Albuquerque",301 San Pedro NE,Albuquerque,87108.0,MARCOS ANTONIO PAGAN CARTIGIANO - SAN PEDRO - RETAIL,,
"3094 San Mateo Blvd NE Ste 3100B, Albuquerque 87110.0","3094 San Mateo Blvd NE Ste 3100B, Albuquerque",3094 San Mateo Blvd NE Ste 3100B,Albuquerque,87110.0,MJ ALTA VIDA PRODUCTS LLC - SAN MATEO RETAIL,,
"3100 Suite B San Mateo Blvd, Albuquerque 87110.0","3100 Suite B San Mateo Blvd, Albuquerque",3100 Suite B San Mateo Blvd,Albuquerque,87110.0,MJ ALTA VIDA PRODUCTS LLC-3100 SAN MATEO RETAIL,,
"3107 San Mateo Blvd NE, Albuquerque 87110.0","3107 San Mateo Blvd NE, Albuquerque",3107 San Mateo Blvd NE,Albuquerque,87110.0,MAD HATTER GROW LLC - SAN MATEO BLVD RETAIL,,
"315 San Pedro NE Suite C, Albuquerque 87108.0","315 San Pedro NE Suite C, Albuquerque",315 San Pedro NE Suite C,Albuquerque,87108.0,OCC ABQ LLC- MANUFACTURER,,
"3228 Isleta Blvd SW, Albuquerque 87105.0","3228 Isleta Blvd SW, Albuquerque",3228 Isleta Blvd SW,Albuquerque,87105.0,LOVES CANNABIS- ISLETA RETAIL,,
"3250 Coors Blvd NW Suite A, Albuquerque 87120.0","3250 Coors Blvd NW Suite A, Albuquerque",3250 Coors Blvd NW Suite A,Albuquerque,87120.0,BUDDER PROS LLC - COORS BLVD RETAIL,,
"3313 4th St NW, Albuquerque 87107.0","3313 4th St NW, Albuquerque",3313 4th St NW,Albuquerque,87107.0,TAFOYA FARMS LLC/ RETAIL 4TH ST NW,,
"3320-A Coors Blvd NW, Albuquerque 87120.0","3320-A Coors Blvd NW, Albuquerque",3320-A Coors Blvd NW,Albuquerque,87120.0,HIGH DESERT RELIEF DISPENSARY - Albuquerque,,
"337 Eubank BLVD NE, Albuquerque 87123.0","337 Eubank BLVD NE, Albuquerque",337 Eubank BLVD NE,Albuquerque,87123.0,LALA LAND CANNABIS CO - EUBANK BLVD NORTHEAST RETAILER,,
"3400 Vassar Dr NE, Albuquerque 87107.0","3400 Vassar Dr NE, Albuquerque",3400 Vassar Dr NE,Albuquerque,87107.0,BAKED BUDS LLC - VASSAR RETAIL,,
"3410 NM-528 105, Albuquerque 87114.0","3410 NM-528 105, Albuquerque",3410 NM-528 105,Albuquerque,87114.0,HIGH DESERT RELIEF-NM-528 105 RETAIL,,
"3417 Central Avenue NE, Albuquerque 87106.0","3417 Central Avenue NE, Albuquerque",3417 Central Avenue NE,Albuquerque,87106.0,ENCHANTED BOTANICALS LLC - CENTRAL AVE RETAIL/CONSUMPTION,,
